appearance_id,game_id,player_id,player_club_id,player_current_club_id,date,player_name,competition_id,yellow_cards,red_cards,goals,assists,minutes_played
2514119_155233,2514119,155233,1031,1039,2014-12-06,Michael Harriman,FAC,0,0,0,0,90
2469982_46897,2469982,46897,825,7775,2014-10-19,Mirkan Aydin,TR1,0,0,0,0,20
2882221_136514,2882221,136514,122,1025,2017-07-20,Charalampos Lykogiannis,ELQ,0,0,0,0,90
3655447_91419,3655447,91419,18105,48726,2021-09-23,Oleksiy Dovgyi,UKRP,0,0,1,0,90
3093836_399758,3093836,399758,4297,7378,2018-10-31,Ruster,POCP,0,0,0,0,13
3457408_260848,3457408,260848,173,173,2020-10-23,Jens Thomasen,DK1,0,0,0,1,68
3047547_353399,3047547,353399,273,3911,2018-10-07,Romain Del Castillo,FR1,0,0,0,0,63
3052504_182936,3052504,182936,122,2503,2018-07-25,Filipe Ferreira,CLQ,0,0,0,0,45
3281962_614195,3281962,614195,10718,16795,2019-12-17,Dani Plomer,CDR,0,0,1,0,14
3252444_85922,3252444,85922,413,2293,2019-10-03,Petar Filipovic,EL,0,0,0,0,90
2611221_114340,2611221,114340,4102,618,2015-08-16,Gabriel Silva,CIT,0,0,0,0,120
3052495_344299,3052495,344299,22220,2410,2018-07-11,Bakhtiyor Zaynutdinov,CLQ,0,0,0,0,1
3872621_540056,3872621,540056,41133,660,2022-07-28,Giorgi Gocholeishvili,ECLQ,0,0,0,0,90
2475244_101742,2475244,101742,3302,3368,2014-10-04,Ángel Trujillo,ES1,0,0,0,0,90
2700922_262613,2700922,262613,306,306,2017-05-07,Pelle van Amersfoort,NL1,0,0,0,0,45
3583544_425918,3583544,425918,1443,11,2021-07-15,Jakub Kiwior,ECLQ,0,0,0,0,90
